## Torsion are defined with the following atomIDs:
# dihed1: ai= 2464 aj= 2463 ak= 2462 al= 2461
# dihed2: ai= 2463 aj= 2462 ak= 2461 al= 2460
# dihed3: ai= 2462 aj= 2461 ak= 2460 al= 2451
# dihed4: ai= 2452 aj= 2451 ak= 2450 al= 2448
# dihed5: ai= 2451 aj= 2450 ak= 2448 al= 2440
# dihed6: ai= 2450 aj= 2448 ak= 2440 al= 2441
# dihed7: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed8: ai= 2439 aj= 2440 ak= 2441 al= 2442
# dihed9: ai= 2440 aj= 2441 ak= 2442 al= 2443
# dihed10: ai= 2441 aj= 2442 ak= 2443 al= 2444
# dihed11: ai= 2446 aj= 2443 ak= 2444 al= 2445
# dihed12: ai= 2444 aj= 2443 ak= 2446 al= 2447
# dihed13: ai= 2440 aj= 2439 ak= 2438 al= 2435
# dihed14: ai= 2434 aj= 2433 ak= 2432 al= 2431
# dihed15: ai= 2430 aj= 2425 ak= 2426 al= 2427
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15
116  -82.314  158.845  170.062   92.157  171.943   -2.587  -69.511  103.037 -171.666  107.799   65.688  -83.896  115.614  -19.772  164.457
117 -110.780 -174.568 -163.837   84.345 -175.509   -5.716  -80.836  109.501  172.849  114.186 -171.524  -51.566  124.831  140.992 -130.806
118  -44.305  141.678  178.865   87.421  167.052   -3.617  -69.502   92.610 -168.957  154.211  156.037 -113.201  117.360  169.876  -46.450
119  -90.932  176.221 -158.264   90.705 -176.015  -25.741  -46.547  101.401  168.486  142.815 -178.004  -62.203   96.750   56.500   58.983
120  -68.021 -156.077 -165.867   74.771  178.916  -13.453  -61.741   99.218  160.915  133.380  158.459 -149.126  109.476   42.390  -24.450
121  -91.405 -179.463 -168.855   94.033 -163.031  -21.348  -75.699  110.096  179.882  120.018   73.399  177.721  115.266   56.643  -54.369
122  -66.249  178.687  178.572   75.367 -165.526    2.230  -79.262  116.360 -166.776   94.114   72.478 -152.090  150.487  144.712  151.649
123  -71.964  169.834  179.666   72.407 -174.482  -15.011  -67.043   97.079 -163.024   62.101   69.574 -156.064  110.680 -143.948  135.050
124  -91.174 -157.136 -173.157   74.574 -163.454  -18.559  -83.333   90.103 -159.873   87.946   89.512 -157.653  134.425  -53.724   26.335
125  -84.464 -164.309 -156.387   78.690  178.564  -14.715  -64.435   98.099  179.111   96.646 -174.501 -166.956  115.640   35.733   -8.298
126  -77.687 -174.561 -160.474   92.193  166.230  -10.016  -66.999  108.754  176.430   55.374   68.195 -146.097  128.841   28.974   -8.388
127  -51.491  153.611 -160.627   72.195 -152.516   -4.036  -73.499  103.188 -178.943   81.459  130.339  -41.270  112.701   43.982  -57.272
128  -54.338  103.613 -158.239   76.560  179.213  -10.103  -82.122  103.267 -169.563  174.550   53.623 -122.784  131.442   53.401  -43.242
129  -62.583  149.822 -172.805   82.584  178.708   -8.420  -77.003  100.610 -160.807  162.721  170.070  -88.382  103.384   40.189 -146.399
130  -76.406  162.312 -159.718   72.610 -165.469    3.446  -77.971   93.592 -172.435  105.987  156.956 -149.184  110.073   45.074 -176.528
131  -41.523 -172.925  168.255   53.338 -164.491   -3.751  -84.977   94.759  179.588  140.273  151.487  169.082  121.671 -146.779  -90.756
132  -80.212 -179.760 -168.979   75.453  165.822  -22.778  -50.169  106.164  175.570  115.897  166.659 -157.130  123.999  116.710   -8.268
133  -56.192  179.474 -173.918   63.741 -171.982   17.854  -74.274  101.864 -176.377   74.877   88.929 -147.839  105.334   55.743   46.264
134  -68.042  163.801 -150.677   84.749  152.386   -0.359  -66.494   86.741 -174.642   80.249   56.121 -164.734  129.061   30.755   54.625
135 -100.482  172.931 -147.972   76.295  155.703  -15.479  -73.931   99.214  177.190   46.403  111.053  -62.679  106.702  129.064   25.130
136  -54.474  174.291 -172.859   79.399  167.418  -32.960  -82.589  112.540  175.033   51.281  127.813  -74.835  158.549   37.754   46.598
137  -65.041 -165.511 -156.003   87.226  155.157   -8.812  -57.549   94.974  166.868   59.578  105.033  -49.927  101.670  140.996  -21.124
138  -77.681  170.524 -172.198   86.201  149.618  -13.619  -60.332  101.293 -178.540   60.097  120.714  -63.937  118.268  139.639  -21.351
139  -39.883  162.405 -166.946   72.371 -177.172  -30.882  -65.435   95.906  168.262   64.813  140.340  -91.170   94.885  135.594 -117.634
140  -73.252  165.484 -165.582   82.465  154.609  -20.014  -62.306   92.034 -179.303   85.497   99.747  -61.397  103.200 -154.897   35.003
141  -67.981 -172.844 -159.917   82.912  159.963  -29.458  -59.227  103.971  173.867   62.599  120.493  -60.328  123.780 -135.089 -130.687
142  -64.054  162.212 -162.244   84.208  156.806   -5.083 -109.921   81.230  179.757   83.273  117.389 -179.748  169.871 -168.949  -85.766
143  -82.765  165.306 -155.299   81.445  161.454   -5.985  -97.063  100.928 -175.200   61.332   55.088  175.916  149.839  152.796   76.187
144  -71.105  161.066 -163.668   77.592  172.410   -5.909  -92.978   87.206  165.713   65.697   67.108 -148.394  107.517 -133.965   26.062
145  -68.820  176.253 -171.027   79.434  166.546  -10.661  -75.818   97.588  174.632   45.571   70.189 -154.827   99.518  -44.203  -61.419
146  -90.926  164.496 -149.859   80.988  175.265  -28.442  -65.705   94.117  167.836   61.359   59.960 -151.675  126.761  151.726   87.596
147  -98.685  166.122 -144.832   87.447  163.879  -14.782  -97.211  101.591  177.959   55.601  136.290 -165.860  127.611 -142.314 -130.396
148  -69.479 -170.152 -159.967   69.741  174.044   -0.849  -84.212   97.805  170.619   61.788   69.380 -154.466  100.743 -132.781 -103.030
149  -88.032  175.754 -159.345   84.381  174.596  -16.612  -77.557  104.987  174.709   70.673  107.303 -175.712  123.157 -138.217  115.607
150  -67.945  169.862 -156.239   73.138  172.973    2.262  -73.981  102.617  175.092   47.902   65.508  177.241  114.062   48.265  161.493
151  -93.733 -179.391 -158.972   83.675  162.143  -24.942  -56.882   77.558  174.771   61.830   89.830 -172.015  119.223  123.117   55.042
